Name,CIS v8 Control Area,Long Description
1Password,1,"1Password is a password management tool that helps users keep track of their numerous passwords, as well as other sensitive information such as credit card numbers and bank account details. The tool generates strong, unique passwords for each online account and stores them all in a secure, encrypted vault. Users only need to remember one master password to unlock the vault. 1Password also offers two-factor authentication and integration with popular browsers and web services for added security."
Apple Watch Security,1,Apple Watch Security is designed to protect your Apple Watch and its data. It includes features like passcode protection and data encryption.
Avast Mobile Security,1,"Avast Mobile Security is a security tool for Android devices that provides protection against malware, spyware, and other threats. It also includes features such as a remote lock and wipe, which can help you if your device is lost or stolen. Avast Mobile Security is available for free, and there is also a premium version with additional features."
AVG Antivirus Pro,1,"AVG antivirus pro is a great tool for PC that offers protection against viruses, malware, and other online threats. It has a real-time scanner that scans your computer for threats and blocks them if they are found. It also has a quarantine area where it stores threats that it has found so that you can remove them later. It has a schedule function so that you can scan your computer at certain times, and it also has a self-protection mode so that it can protect itself"
AWS IoT Device Defender,1,"AWS IoT Device Defender is a security service that helps you protect your IoT devices and data. With Device Defender, you can monitor and mitigate security risks in your IoT devices and data, and automatically detect and respond to security issues."
Azure IoT Hub,1,"Azure IoT Hub is a cloud-based platform that helps you connect, monitor, and manage IoT devices. With IoT Hub, you can collect data from your devices and send commands to them. You can also use IoT Hub to create and manage device identities, and to set up rules for routing data and messages. IoT Hub is available in three pricing tiers: Basic, Standard, and Premium."
Blumira,1,"Blumira is a cloud-based security monitoring and detection platform that offers SIEM, intrusion detection, and incident response capabilities in one easy-to-use package. Its intuitive interface makes it easy to get started, and its real-time dashboards and drill-down reporting give you visibility into your security posture at all times. Blumira also includes a wide range of built-in integrations for popular security tools, making it easy to extend your security stack."
Change Communication Safety settings in Screen Time on Mac,1,"Screen Time is a feature in macOS that allows you to control the amount of time you and your family spend on the computer. It also provides tools to help you manage communication safety settings, so you can limit who your children can communicate with online.

To change communication safety settings:

Open Screen Time.

Select your child's account, then click Communication in the sidebar.

Select the contact types that you want to allow or block.

If you want"
Cisco ISE,1,"Cisco ISE provides secure identity management for devices and users across the enterprise. It combines industry-leading security and networking technologies to deliver a robust, scalable, and easy-to-deploy solution. Cisco ISE offers a comprehensive set of features including:
* Authentication and authorization
* Context-aware access control
* Device and endpoint profiling
* Security posture assessment
* Guest access and BYOD
* Reporting and troubleshooting

Cisco ISE is a critical part"
Citrix Endpoint Management,1,"Citrix Endpoint Management (formerly known as XenMobile) is a cloud-based mobile device management (MDM) and mobile application management (MAM) solution that helps organizations securely manage, deliver, and control mobile apps and data. With Citrix Endpoint Management, organizations can manage any type of mobile device, including smartphones, tablets, and laptops. Citrix Endpoint Management also provides comprehensive security features, such as data encryption, device-level security policies, and the ability"
ClassWallet,1,"ClassWallet is a tool that helps teachers manage money and expenses for their classroom. It allows teachers to keep track of expenses, donations, and payments made by parents and students. ClassWallet also provides a way for teachers to communicate with parents and students about financial matters."
Cybersecurity Toolkit for Elections,1,"The Cybersecurity Toolkit for Elections is a free online resource that provides election officials with guidance and tools to improve the security of their election systems. The toolkit includes a security assessment tool, a cybersecurity policy template, and a training course on election security. The toolkit is designed to help election officials reduce the risk of cyberattacks and ensure the integrity of their elections."
Cybersecurity Toolkit for Small Business,1,"This resource, the GCA Cybersecurity Toolkit for Small Business, offers a collection of free and effective tools to help small businesses reduce their cyber risk. The toolkit is designed to be completed in six steps, providing a structured approach to improving cybersecurity measures. 

To begin using the toolkit, users can access Step One, which serves as a starting point for implementing immediate actions to mitigate cyber risks. The toolkit aims to empower small businesses by providing practical solutions that can be implemented without extensive technical expertise.

For those seeking more comprehensive training and resources, the toolkit also offers a learning portal. This online platform provides detailed training courses and additional guided experiences to enhance cybersecurity knowledge and skills.

The importance of utilizing this toolkit is underscored by the fact that small businesses are increasingly targeted by cyber attacks, with over 43% of such attacks directed towards them. By taking advantage of the resources provided, small businesses can strengthen their defenses and protect their sensitive information from potential threats.

Overall, the GCA Cybersecurity Toolkit for Small Business offers a valuable resource for small business owners and operators who are looking to enhance their cybersecurity measures. With its user-friendly approach and practical tools, this toolkit enables businesses to take immediate action in reducing their cyber risk."
Diceware,1,"Diceware is a tool for generating strong, memorable passwords using dice. It works by selecting a random word from a list of 7776 words, then concatenating multiple words together to create a password. The list of words is designed so that each word is equally likely to be selected, and the overall password is thus very difficult to predict.

Diceware is an easy and convenient way to create strong passwords that are both difficult to guess and easy to remember. It is"
Ellucian Banner Finance,1,"Ellucian Banner Finance is a cloud-based financial management solution designed for higher education institutions. It offers a suite of tools for managing student accounts, budgets, finance and accounting, and compliance. The solution is web-based and offers a self-service portal for students and staff. It also includes a mobile app for iOS and Android devices."
ExpressVPN,1,"ExpressVPN is a fast, reliable, and easy-to-use VPN service that enables users to browse the internet anonymously and securely. With ExpressVPN, you can access blocked websites and content, and surf the web with complete privacy and freedom. ExpressVPN also offers a range of security features to keep your online activity safe and protected."
FCC Smartphone Security Checker,1,"The FCC Smartphone Security Checker is a tool designed to help people ensure that their smartphones are secure. The tool provides a list of security measures that people can take to protect their smartphones, as well as a list of potential threats to smartphones and what to do if a smartphone is lost or stolen. The tool also includes a list of resources that people can use to learn more about smartphone security."
FortifyData,1,"FortifyData is a free tool from CISA that helps users rate their exposure to cyber threats. The tool allows users to input data about their organization's assets, networks, and systems, and receive a threat exposure rating. This rating is based on the probability and severity of a cyber attack, and can help organizations prioritize their cybersecurity efforts."
Fortinet FortiGate,1,"The FortiGate is a powerful next generation firewall from Fortinet. It offers advanced features such as application control, intrusion prevention, web filtering, and so on. The appliance is easy to deploy and manage, and it provides excellent protection against a variety of threats."
Ghostery,1,"Ghostery is a tool that helps you see and manage the “invisible” web of trackers, web bugs, pixels, and beacons that follow you around the Internet. When you visit a website, your browser share some information with that site’s server. This is called a HTTP request. Each request includes your IP address, browser type, and the page you’re requesting. The server knows where you are because of your IP address, and it can"
Global data for open services,1,"The CyberGreen Institute's Global Data for Open Services lets users explore how different countries are performing in terms of broadband speeds and prices. The site provides data on fixed broadband speeds and prices from over 190 countries. Users can view data on a map or in a list, and can filter the data by country, region, or broadband type. The data can be used to compare countries' performance, to identify trends, and to assess the affordability of broadband services."
Google Authenticator,1,"The Google Authenticator is a mobile app that provides two-factor authentication for your Google account. When you enable two-factor authentication for your account, you'll need to enter a code that is generated by the app in addition to your password when you sign in. The code is valid for a limited time, and is reset periodically.

The app is available for iOS and Android devices, and you can also use it on a desktop or laptop if you install the Google Authenticator Chrome"
Guardio,1,"Guardio is a service that helps protect users from online threats. It offers a variety of features to users, including a password manager, a secure browser extension, and a secure email service. Guardio also offers a variety of tools to businesses, including a secure browser extension and a secure email service."
Have I Been Pwned,1,"Have I Been Pwned is a data breach notification website that allows users to check whether their personal information has been compromised in a data breach. The website contains a database of over 4 billion breached records. Users can search for their personal information by email address, username, or phone number. If a user's personal information is found in the database, they are notified of the data breach and advised to take action to protect themselves."
How Can You Tell if an App Is Malware,1,"If you're wondering whether an app is malware, there are a few things you can look for. First, check the app's permissions. If an app asks for a lot of permissions, especially permissions that it doesn't need to function, that's a red flag. Second, check the reviews. If an app has a lot of negative reviews or very few reviews, that could be a sign that it's not legitimate. Finally, do a bit of research on the developer. If the"
How Microsoft identifies malware and potentially unwanted applications,1,"This is a Microsoft tool that helps identify malware and potentially unwanted applications. It does this by comparing files and programs against a database of known malicious items. If a match is found, the tool will provide information on the threat and offer options for removal. This can help protect your computer from being infected by malware or unwanted software."
How to check your Android phone for malicious apps,1,"This CNET tool allows users to check their Android phone for malicious apps. The tool will scan your device and app store for any malicious apps that may have been installed on your device. It is important to note that this tool is not 100% effective, but it is a good way to check for any suspicious activity on your device."
iCloud,1,"ICloud is a cloud storage and cloud computing service from Apple Inc. It was launched on October 12, 2011. iCloud is built into every Apple device. That means all your stuff — photos, files, notes, and more — is available on whatever device you’re using, whenever you need it. You can access your iCloud Drive files in the Files app on iOS 11 and later or in the Finder on your Mac running macOS Sierra and later.

With iCloud, you"
Identity Guard,1,"Identity Guard is a tool that helps protect your identity. It does this by monitoring your personal information for changes, such as new addresses or phone numbers. If Identity Guard detects a change, it will send you an alert so you can take action to protect your identity. In addition, Identity Guard offers protection from fraud and identity theft. It has a database of known criminals and can help you stop them before they steal your identity. Identity Guard is a subscription service, so you will need to"
Infinite Campus,1,"Infinite Campus is a data management system used by schools to track student information. The system includes a wide range of features that allow schools to manage everything from attendance and grades to health and discipline records. Infinite Campus is used by over 7,000 schools in the United States and Canada, making it one of the most popular student data management systems available."
Internet Crime Complaint Center,1,"The Internet Crime Complaint Center, or IC3, is a special division of the FBI that is tasked with investigating internet-related crimes. These can include anything from fraudulent activities and scams, to child pornography and cyberstalking.

The IC3 was launched in May of 2000, in response to the growing problem of internet crime. Since then, the IC3 has received nearly 4 million complaints from victims all over the world. In addition to investigating these complaints, the IC3 also"
Intruder,1,"Intruder is a cloud-based security assessment tool that allows users to test the security of their websites and applications. Intruder provides a variety of features designed to help users identify and fix vulnerabilities in their systems. These features include a web application security scanner, a network security scanner, and a web application firewall. Intruder also offers a variety of resources to help users learn about web application security."
iOS Security,1,"Developed by Apple, iOS Security is a security guide that helps iPhone and iPad users protect their devices from malware, phishing attacks, and other security threats. The guide provides tips on how to create strong passwords, how to avoid sharing personal information online, and how to keep your device up to date with the latest security patches. In addition, the guide includes information on how to use Apple's built-in security features, such as Touch ID and Find My iPhone, to further protect your"
iPadOS Security,1,"The iPadOS Security guide provides information on the security features of the iPadOS operating system. It covers topics such as iOS security features, Touch ID, passcodes, encryption, and data protection. The guide also provides instructions on how to use these security features to protect your data."
Kestrel Threat Hunting Language,1,"The Kestrel Threat Hunting Language is a query language for searching and analyzing data to find potential security threats. It is designed to be simple and easy to use, and to be able to run on any platform that supports the language. The language has a number of capabilities including the ability to query data sources, analyze data, and to generate reports."
Lansweeper,1,"Lansweeper is a system management tool designed to inventory, monitor and report on assets across a network. It can be used to inventory hardware, software and configurations, track changes and monitor compliance. Lansweeper can be deployed as an agentless or agent-based solution, making it adaptable to almost any network environment. With its built-in reporting engine, Lansweeper provides detailed information on all aspects of the network, including asset utilization, software licensing and compliance."
Lightspeed Systems,1,"Lightspeed Systems is a comprehensive internet security and compliance solution for K-12 school districts. It provides filtering, monitoring, and reporting capabilities to keep students safe online and help districts comply with state and federal student data privacy laws. The solution includes a web-based console for administrators, a content filtering and security agent for district-owned devices, and a mobile app for student-owned devices. It also offers a wide range of customization and integration options to meet the unique needs of each district"
Lookout Security & Antivirus,1,"Lookout Security & Antivirus is a Lookout Mobile Security app that helps keep your Android device safe from viruses, malware, and other threats. It includes a virus scanner that can detect and remove malware, a malware removal tool that can help you remove malware from your device, and a phone locator that can help you find a lost or stolen device. Lookout Security & Antivirus is a free app, but it does include ads."
McAfee Total Protection,1,"McAfee Total Protection is an antivirus and online security software suite created by McAfee. It provides protection from viruses, malware, and online threats, and includes features like a firewall, web filtering, and identity theft protection. McAfee Total Protection is available for both Windows and Mac, and can be purchased as a standalone product or as part of a McAfee security suite."
Metasploit,1,Metasploit is a free and open source penetration testing tool that helps security professionals find and exploit security vulnerabilities in systems and applications. It can be used to launch attacks and test defenses. Metasploit has a large database of exploit code for a variety of platforms. It also includes tools for developing and testing new exploits. Metasploit is a powerful tool that should be in every security professional's toolkit.
Microsoft Defender,1,"Microsoft Defender is a security tool that helps protect your device from malware and other threats. It runs in the background and monitors your device for suspicious activity. If it finds something suspicious, it will alert you and give you the option to take action. Microsoft Defender is available for free for personal use."
Microsoft Defender for IoT,1,Microsoft Defender for IoT is a security tool that helps protect devices and data on IoT networks. It provides a unified security platform that helps to identify and defend against threats. It also helps to monitor and manage IoT devices and data.
Microsoft Intune,1,"Microsoft Intune is a cloud-based tool from Microsoft that helps businesses manage and protect their mobile devices and PCs. With Intune, businesses can manage devices and apps, set policies, and view reports on device and app usage. Intune also helps businesses track their IT assets, including software licenses and compliance."
Nessus Professional,1,"Nessus Professional is a network security analysis tool that can be used to identify vulnerable systems and applications. It can be used to scan for known vulnerabilities, such as those listed in the National Vulnerability Database (NVD), as well as for custom risks specific to your organization. Nessus Professional can be run locally or remotely, and can be configured to scan regularly for new vulnerabilities."
Network Reporting,1,"Network Reporting is a Shadowserver service that offers help for network administrators and operators who are struggling with malicious activity on their network. The service provides a monthly report that includes:

-A list of all IP addresses that were seen on the network during the month
-A list of all domain names that were seen on the network during the month
-A list of all malware hashes that were seen on the network during the month

The report also includes a brief description of the activity"
Neurons for MDM,1,"Ivanti Neurons for MDM is a set of machine learning models that are designed to work with Ivanti's MDM solution. The models are trained on data from Ivanti's customers, and they are able to provide predictions and recommendations for Ivanti's MDM solution. The models are constantly learning and improving, and they are designed to provide the best possible experience for Ivanti's customers."
NMAP,1,"The tool NMAP found at https://nmap.org/download.html is a network exploration and security auditing tool. It can be used to identify hosts and services on a network, as well as security issues. Nmap can be used to scan for vulnerable open ports on systems."
NordVPN,1,"NordVPN is a security and privacy solution for Internet users. It encrypts users' Internet traffic and hides their IP addresses from online trackers and hackers. NordVPN also provides a number of security features to protect users' privacy, including a kill switch and DNS leak protection. NordVPN is a subscription-based service, with a number of plans available."
Norton Firewall,1,"Norton's firewall is a software program that helps protect your computer by blocking unauthorized incoming or outgoing connections. It does this by inspecting the data that comes through your internet connection and comparing it to a set of rules that you can customize. If the data doesn't match the rules, the firewall will block it. The firewall can also be set to warn you when it blocks something, so you can decide whether to allow it or not."
OnGuard Online,1,"The Federal Trade Commission’s (FTC) OnGuard Online is a website that provides tips and resources on how to protect your computer, mobile device, and personal information online. The website also has a section where you can report online scams and fraud.

OnGuard Online provides tips on a variety of topics including creating strong passwords, avoiding phishing scams, and protecting your personal information. The website also has a section devoted to helping businesses stay safe online. This section includes tips"
Online Privacy and Security,1,"The Online Privacy and Security tool from the Federal Trade Commission can help you keep your personal information safe when you use the internet. The tips and resources on this website can help you create strong passwords, protect your privacy, and avoid phishing scams and other online threats. You can also find information on what to do if you think you've been a victim of identity theft."
OpenSSH,1,"OpenSSH is a free and open-source networking tool that enables secure communications between devices over a computer network. It uses the Secure Shell (SSH) protocol to provide a secure connection between two devices. OpenSSH is typically used to access remote servers and devices, but it can also be used to securely transfer files between two devices. OpenSSH is available for all major operating systems, including Linux, Unix, and Windows."
OpenVAS,1,"OpenVAS is a security scanner that can be used to identify vulnerabilities in systems and applications. It is a free and open source tool that is part of the Greenbone security scanner family. OpenVAS is available for download on the Greenbone website.

OpenVAS performs security scans by checking for known vulnerabilities in systems and applications. It can be used to scan for vulnerabilities in local and remote systems. OpenVAS can be used to scan for vulnerabilities in both Windows and Linux"
Oracle Higher Education Cloud,1,"Oracle Higher Education Cloud is a comprehensive, enterprise resource planning software solution designed to meet the needs of higher education institutions. The software includes modules for student recruitment and admissions, student life cycle management, financial aid, human resources, and finance. The software is delivered via the cloud, allowing institutions to access the software from anywhere with an internet connection. Oracle Higher Education Cloud is a scalable solution that can be tailored to the specific needs of each institution."
Posture Attribute Collection and Evaluation - PACE,1,"The Open Cybersecurity Alliance (OCSA) is a consortium of technology companies that have committed to working together to advance security technologies and practices. One of the projects they are working on is called the Posture Attribute Collection and Evaluation (PACE) tool. This tool is designed to help organizations assess and improve their cybersecurity posture. It does this by collecting data about an organization's security practices and procedures, and then providing recommendations on how to improve them. PACE is intended to be used"
PowerSchool BusinessPlus,1,"PowerSchool BusinessPlus is a payroll system designed to help organizations manage their finances and employee information. The tool provides a central hub for managing employee data, tracking payroll information, and generating reports. BusinessPlus also offers a self-service portal for employees to access their information and update their records. The system is designed to be highly customizable, so that organizations can tailor it to their specific needs."
Scalefusion,1,"The tool Scalefusion is a cloud-based solution that enables enterprises to manage and secure mobile devices across various platforms. It provides a centralized console to manage and monitor devices, apps, and content. The solution also offers a range of features to remotely control devices, enforce security policies, and track device usage. Additionally, Scalefusion helps enterprises to keep their devices up-to-date with the latest software and security patches."
Security Planner,1,The tool Security Planner found at https://securityplanner.consumerreports.org/ is a Consumer Reports that helps users create a customized security plan for their home. The user enters their zip code and the site provides information on the type of security system they need based on the user's location and the level of security they desire. The site also includes a list of security companies that are recommended by Consumer Reports.
Sofware Supply Chain Security,1,"This tool is designed to help organizations secure their software supply chains. It provides guidance on how to assess and address risks in the supply chain, and includes a checklist of security controls. The tool also includes a list of resources on supply chain security."
Spiceworks,1,"Spiceworks is a comprehensive IT management software that helps businesses in a variety of ways. It gives businesses the ability to inventory and track their hardware and software, monitor their networks, and resolve issues. In addition, Spiceworks provides a marketplace where businesses can find and compare products and services, and connect with IT professionals."
System Inventory Tool,1,"The System Inventory Tool from Manage Engine is a free system inventory and tracking tool for Windows that can be used to track changes to your system over time. The tool can be used to track changes to files, registry keys, and installed applications, as well as track user activity on the system. The tool can also be used to generate reports on the changes that have been made to your system."
uBlock Origin,1,"ublock origin is a free, open-source and cross-platform ad blocker with a focus on performance and security. It is available for Chromium, Firefox, Safari and Edge. ublock origin has been described as an efficient blocker and a memory hog. It blocks ads, trackers and other unwanted content, and is said to be faster and more lightweight than other ad blockers. uBlock Origin is also said to be more effective at blocking ads than Adblock Plus."
Use Google Play Protect to help keep your apps safe and your data private,1,"Google Play Protect is a security tool that is designed to help keep your apps safe and your data private. It comes pre-installed on all Android devices that use Google Play, and it runs in the background to scan your device and apps for malware. If it finds anything that it thinks is harmful, it will show a warning and give you the option to remove the app or data."
VMware Workspace ONE,1,"VMware Workspace ONE is a digital workspace solution that helps organizations deliver and manage digital workspaces on any device, anywhere. With Workspace ONE, users can access their apps, desktops, and data from a single platform, and IT can securely deliver and manage these resources from the cloud or on-premises."
Workday Student,1,"Workday Student is an enterprise resource planning (ERP) software system that helps colleges and universities manage their student data. The software includes modules for admissions, financial aid, registration, and student records. Workday Student is a cloud-based system that is accessible from any device with an internet connection. The software is designed to be user-friendly and includes a self-service portal for students to access their records and perform administrative tasks. Workday Student integrates with other Workday products, such"
Norton Antivirus,3,"Norton Antivirus is a security software program that helps protect your computer against viruses, worms, Trojan horses, and other malware. It works by scanning your computer's files and detecting any malicious code that may be present. If it finds any, it will either remove the malicious code or quarantine it so that it can't do any damage. Norton Antivirus also includes features that can help protect you from phishing scams and identity theft."
