Source,Name,Grouping,Category,Possible Other Communities,Tool URL,Cost,Price Model,Certification,CIS v8 Control Area,NIST Framework Area,Long Description,Short Description,Rollover Description
Defense.gov,DoD Releases Defense Industrial Base Cybersecurity Strategy,G,12,,https://www.defense.gov/News/Releases/Release/Article/3723439/dod-releases-defense-industrial-base-cybersecurity-strategy/,f,,,14,PR.AT ,,,
Defense.gov,Defense Industrial Base Cybersecurity Strategy 2024,m,"12.1,13,1.4,",,https://media.defense.gov/2024/Mar/28/2003424523/-1/-1/1/DOD_DOB_CS_STRATEGY_DSD_SIGNED_20240325.PDF,f,,,"17.4,14,6,7.5","PR.IP-9,PR.AT,PR.AC",,,
businessdefense.gov,National Defense Industrial Strategy 2023 DEPARTMENT OF DEFENSE,m,"12,13",,https://www.businessdefense.gov/docs/ndis/2023-NDIS.pdf,f,,,"1,2,3",PR.DS,,,
Federal Register ,Department of Defense (DoD) Defense Industrial Base (DIB) Cybersecurity (CS) Activities,G,"7.4,8,12.1,13,",,https://www.federalregister.gov/documents/2024/03/12/2024-04752/department-of-defense-dod-defense-industrial-base-dib-cybersecurity-cs-activities,f,,,"17,14",PR.AT,,,
DoD,Defense Industrial Base (DIB) Cybersecurity Portal,m,"7.4,12,13,",,https://dibnet.dod.mil/dibnet/,f,,,"17,3,14,15",RS.CO-2,,,
CISA ,Software Bill of Materials (SBOM),G,7.6,,https://www.cisa.gov/sbom,f,,,16,ID.RA,,,
Ntia.gov,Framing Software Component Transparency: Establishing a Common Software Bill of Materials (SBOM),m,7.6,,https://www.ntia.gov/sites/default/files/publications/ntia_sbom_framing_2nd_edition_20211021_0.pdf,f,,,7,ID.RA-1,,,
INSA online,Views on DoD Cyber Threat Hunting on Defense Industrial Base Networks,G,"1.3,12.2,13",,https://www.insaonline.org/docs/default-source/default-document-library/2022-white-papers/viewsondodcyberthreathuntingdibnetworks.pdf?sfvrsn=f751b623_2,f,,,"7.1,16.2,14",ID.RA-1,,,
Dc3,DOD-Defense Industrial Base Collaborative Information Sharing Environment,G,"1.3,7.4",,https://www.dc3.mil/Missions/DIB-Cybersecurity/DIB-Cybersecurity-DCISE/,f,,,"16,14",RS.CO-2,,,
NSA,NSA Cybersecurity Collaboration Center,G,"12.2,13",,https://www.nsa.gov/About/Cybersecurity-Collaboration-Center/,f,,,"4.9,16.1",DE.CM-4,,,
NSA,"NATIONAL SECURITY AGENCY CYBERSECURITY SERVICES Drive Down Risk, Protect DoD Information",m,"12.2,13,7.6,",,https://www.nsa.gov/Portals/75/documents/Cybersecurity/CCC/DIB_Services_NOV2023.pdf?ver=Gbol8Ev8D30uHtV2yjH0Nw%3d%3d,f,,,"4.9,16.1",DE.CM-4,,,
